NoticeId,Title,Sol#,Department/Ind.Agency,CGAC,Sub-Tier,FPDS Code,Office,AAC Code,PostedDate,Type,BaseType,ArchiveType,SetASideCode,SetASide,ResponseDeadLine,NaicsCode,ClassificationCode,Active,Link,Description,ai_summary_description
82502bdc56c04de1873e834dcf56480a,Area of Interest for Case Development Modernization (CDM),WHSCSO26AOI02,DEPT OF DEFENSE,97.0,WASHINGTON HEADQUARTERS SERVICES (WHS),97F5,WASHINGTON HEADQUARTERS SERVICES,HQ0034,2026-03-20 16:57:56.079-04,Combined Synopsis/Solicitation,Special Notice,autocustom,NONE,No Set aside used,2026-04-02T16:00:00-04:00,541715,AC32,Yes,https://sam.gov/workspace/contract/opp/82502bdc56c04de1873e834dcf56480a/view,"The Defense Security Assistance Management System (DSAMS) is a mission essential system for the Security Cooperation (SC) community that provides military departments (MILDEPs) and Defense Agencies with the functionality necessary to develop and implement all unclassified Security Assistance (SA) cases, from the point of the customer's request for material/services through the establishment of the legal terms/conditions, initial pricing, payment schedules, and production of the Letter of Offer and Acceptance (LOA) document, and ending with confirmation that initial funding and obligation authority is in the place to proceed with case execution. DSAMS provides additional functionality for foreign military sales (FMS) Training and Grant Training, commonly referred to as the training module. This provides the capability to fully execute cases involving foreign military training (as opposed to weapon systems or spare parts) for the military departments (MILDEP). Originally created nearly three (3) decades ago, it remains the information technology (IT) backbone of foreign military sales. The President's executive order EO 14268 'Reforming Foreign Defense Sales to Improve Speed and Accountability' calls on Department of War (DoW) to modernize the entire case life cycle process to reduce time to delivery of materials and to increase transparency within the process; such that stakeholders in Security Cooperation enterprise can have improved delivery experience. Additionally, the Case Launcher product prototype is currently under development. This prototype includes capabilities such as initializing a case, creating, editing, and tasking case lines, reviewing and entering case data and a Single Tracking System prototype for tracking foreign military sales efforts throughout the Case Lifecyle per EO 14268. A modernized Case Development Life Cycle is critical to achieving the goals outlined in the executive order. The Information Management & Technology (IM&T) case development modernization (CDM) requires the development of a modernized Case Lifecycle system to address critical challenges and evolving mission needs within the Security Cooperation enterprise. The modernization aims to streamline the FMS case development process, enhance transparency, reduce delivery timelines, and ensure compliance with cybersecurity, accessibility, and Zero Trust standards. As of now, no single Task Management or Document Repository system exists. The CDM initiative includes task management and document repository capability requirements that support the overall Case Lifecycle to streamline task management and have the capability for case life cycle document repository. It should integrate seamlessly with the CDM system for efficient data exchange and reporting. By leveraging modem technologies, architectures, and methodologies, CDM will deliver a unified, scalable, and efficient platform that supports the entire Case Lifecycle while ensuring interoperability with other systems across the DoW. Key objectives to achieve include: 1.) Replace legacy functions and features by modernizing applications to reduce technical debt and application variance resulting in improved scalability, data transparency and efficiency. 2.) Develop a modern system to adhere with cybersecurity, accessibility and data protection compliance requirements like Zero Trust, 508, FISCAM Audit and other applicable STIGs. 3.) Implement applicable case lifecycle improvements identified as part of CPIB recommendations and other executive orders.? SEE ATTACHED Areas of Interest for additional information"," The Defense Security Assistance Management System (DSAMS) is a mission essential system for the Security Cooperation community . DSAMS provides additional functionality for foreign military sales (FMS) Training and Grant Training, commonly referred to as the training module . The President's executive order EO 14268 '"
70f0b6830d2c42c2b8eb6e2806427629,Cryocooler,RFP378832,"ENERGY, DEPARTMENT OF",89.0,"ENERGY, DEPARTMENT OF",8900,FERMILAB - DOE CONTRACTOR,899034,2026-03-20 16:08:23.719-04,Solicitation,Solicitation,autocustom,,,2026-04-06T13:00:00-05:00,332710,AJ13,Yes,https://sam.gov/workspace/contract/opp/70f0b6830d2c42c2b8eb6e2806427629/view,Cryocooler,Cryocooler
df7667fcb7c946d58bc7f77b6ba34a12,Solicitation for COMET Defense Intelligence Agency Missile and Space Intelligence Center,HHM40226COMET,DEPT OF DEFENSE,97.0,DEFENSE INTELLIGENCE AGENCY (DIA),97DL,VIRGINIA CONTRACTING ACTIVITY,HHM402,2026-03-20 15:47:30.573-04,Solicitation,Solicitation,autocustom,SBP,Partial Small Business Set-Aside (FAR 19.5),2026-04-03T17:00:00-05:00,541715,AC23,Yes,https://sam.gov/workspace/contract/opp/df7667fcb7c946d58bc7f77b6ba34a12/view,"The reason for this modifiaction amendment 01 is to provide Q&A responses, revised Section L, Section M, incorporate DFARS clause 252.204-7021, 252.204-7025, and Section J. The solicitation response due date remains unchanged. Soliciatation for Defense Intelligence Agency Missile and Space Intelligence Center The Virginia Contracting Activity (VaCA) releases a Request for Proposal (RFP) for Contract Operations for Missile Evaluation and Testing (COMET) during March 2026. The following details are provided as required by FAR 5.207: 1. Requirements Name: Contract Operations for Missile Evaluation and Testing (COMET) 2. Proposed Solicitation Number: HHM402-26-COMET 3. Product Service Code (PSC): AC23 National Defense R&D Services; Atomic energy defense activities; Experimental Development 4. Planned Solicitation Release Date: March 2, 2026 5. Planned Solicitation Response Closing Date: April 3, 2026 6. Contracting Office Address: 4545 Fowler Road, Redstone Arsenal, AL 7. Contracting Office Zip Code: 35898 8. Contracting Officer: Noryem Maldonado 9. Description: Missile and Space Intelligence Center requires contract support for research, development, and sustainment of new and existing, hardware, systems, and software capabilities, and foundational military intelligence (FMI) enabling all-source analysis and production for the DIA, Department of Defense (DoD), and national level intelligence efforts. MSIC also requires contract support to provide the Defense Intelligence Enterprise (DIE) and its mission partners analysis and analytical enabling services support. The planned period of performance (PoP) for the anticipated Multiple Award Indefinite Delivery Indefinite Quantity (IDIO) contract will be a five (5) year base ordering period with a five (5) year option ordering period. Supporting task orders may have up to a one (1) year base period and up to four (4) option periods (no option period will exceed one (1) year in duration). 1. Place of Contract Performance: TBD 2. Set-Aside Status: Multiple Award IDIQ contract Full and Open Competition. The Government anticipates issuing a Multiple Award Indefinite Delivery/Indefinite Quality type contract, whereby funds are obligated by issuance of individual Task Orders. The resulting contract will have provisions for Cost-Plus-Fixed-Fee, Firm-Fixed-Price, and Time- and-Material Task Orders. The future RFP is likely to be issued on unrestricted competition basis. Subcontracting plans will be required where applicable. Offerors must be registered in the System for Award Management (www.sam.gov) to conduct business with this Government organization. Place of performance shall be determined at a later date. While the Statement od Work for each Task Order effort may not be classified, a TOP SECRET facility clearance is required and personnel working on Task Orders under the contract, whether or not performance is at MSIC facilities, must have a TS/SCI Clearance prior to working on the effort. The Solicitation Notice is provided for informational purposes and IS a REQUEST FOR PROPOSALS (RFP). RFP Questions Matrix (Attachment 6) is due 13 March 2026 NLT 12:00pm (noon) CST."," Virginia Contracting Activity releases a Request for Proposal (RFP) for Contract Operations for Missile Evaluation and Testing (COMET) in March 2026 . Missile and Space Intelligence Center requires contract support for research, development, and sustainment of new and existing capabilities ."
ebf8751a86ee4b6e81ef9e3cb80968ca,NEW - Air Force Installation and Mission Support Center (AFIMSC) Streamlining Procurement for Effective Execution & Delivery (SPEED) Commercial Solutions Opening (CSO),FA890326SC001,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA8903  772 ESS PK,FA8903,2026-03-20 15:36:46.477-04,Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,auto15,NONE,No Set aside used,2030-08-29T05:00:00-05:00,541,AC33,Yes,https://sam.gov/workspace/contract/opp/ebf8751a86ee4b6e81ef9e3cb80968ca/view,"DISCLAIMER: Please be advised that this combined synopsis/solicitation has been transferred from the 771 ESS to the 772 ESS and is a continuation of combined synopsis/solicitation FA8003-25-S-C001. Please see updated POCs below and any inquiries may also be sent to the new org box: 772 ESS/Speed CSO at 772ESS.Speed.CSO@us.af.mil. Note: ""Open"" indicates that submissions may be provided at any time. ""Closed"" indicates that there is a definitive due date for submissions. REVISED POSTING: See revision in bold in description below and in the revised attachment below, dated 18 March 2026. AMENDMENT 8: Closed - 2607 - As-Built Building Information Modeling (BIM) Data Acquisition (Added 03/16/2026) Due 04/16/2026 Update: This amendment adds the Q&As. See Q&A attachment below. See attachment below. AMENDMENT 7: Closed - 2606 - AFCEC Enterprise-Wide Contracting Data Repository and Dashboard (Added 03/13/2026) Due 04/14/2026 Update: This amendment adds the Q&As. See Q&A attachment below. See attachment below. AMENDMENT 6: Closed - 2605 - Data Science Capability and Framework (Added 02/12/2026) Due 04/02/2026 Update: This amendment adds the Q&As making some changes on submission requirements and the due date has been extended to 02 April 2026, 5:00 P.M. CDT. See Q&A attachment below. See attachment below. AMENDMENT 5: Closed - 2604 - Unified Facility Criteria Design Kits (UDK) (Added 01/27/2026) Due 02/26/2026 See attachment below. AMENDMENT 4: Closed - 2603 - Base Oversight and Autonomous Response (BOAR) sUAS Framework (Added 01/22/2026) Due 02/22/2026 See attachment below. AMENDMENT 3: Closed - 2602 - AFCEC Business Systems Modernization IT (Added 01/21/2026) Due 03/10/2026 See attachment below. AMENDMENT 2: Closed - 2601 - Optimizing AFCEC CE IT Porfolio: Strengthening Systems for Global Operations (Added 10/1/2025) Due 11/1/2025 See attachment below. AMENDMENT 1: Open - 2501- Construction Cost and Schedule (Open) (Added 9/16/2025) The Government seeks an innovative solution to improve project outcomes by combining benchmarking with forward-looking market intelligence. The innovative solution shall emphasize optimizing total cost of ownership, differentiating discretionary versus mandatory requirements, and iterative investigation across all levels of a project, from macro design to micro equipment selection. The innovative solution shall incorporate data-driven insights to be framed by including a project delivery navigator that integrates structured and unstructured data, and the importance of considering external factors like commodity prices, local labor dynamics, and Engineering, Procurement and Construction (EPC) market intelligence to predict and improve project performance, ultimately advocating for aggressive design challenges and industrialized production processes to achieve successful project delivery. INITIAL POSTING: Description The purpose of this CSO is to allow for competitive selection of innovative commercial items, technologies, and services to obtain solutions or new capabilities that fulfill requirements, close capability gaps, or provide potential technological advancements in meeting the AFIMSC’s Areas of Interest (AoI). The Air Force Installation and Mission Support Center (AFIMSC) is a vital engine for fostering innovation throughout the Air Force. It functions as a dynamic community,bringing together a diverse group of individuals from active duty, Air National Guard, Air Force Reserve, civilian service, and contractor roles. This broad mix of backgrounds and experiences is crucial for generating creative solutions the Air Force needs to meet evolving challenges. AFIMSC acts as a central connector, linking Airmen with the resources necessary to transform innovative ideas into reality. This includes securing funding for promising projects, forging connections with industry experts and companies who offer specialized knowledge and technologies, and providing expert guidance and mentorship to navigate the often complex path of development and implementation. A core element of AFIMSC's strategy is cultivating and facilitating agile engagements fostering collaboration with entities outside the traditional military structure. They embrace the principles of open innovation, understanding that valuable solutions can emerge from diverse sources. AFIMSC actively bridges the gap between the Air Force and the wider innovation ecosystem, engaging with established companies, startups, universities, research institutions, and even non-traditional contributors who may not have previously worked with the military. This ""bottom-up"" approach empowers Airmen at all levels to identify challenges and propose solutions, ensuring that innovation is driven from the ground up. Solutions presented gain valuable visibility within the Air Force and other government entities, potentially informing future contract solicitations, grants, and agreements. Successful solutions may be selected for prototyping, testing, demonstration, and eventual deployment. Ultimately, AFIMSC contributes to the growth and development of the non-traditional military business ecosystem, strengthening relationships between the Air Force and the private sector and driving the development of innovative solutions to critical Air Force challenges. In essence, AFIMSC is adriving force, helping the Air Force embrace innovation and adapt to a rapidly changing world. This CSO will utilize a solicitation process authorized by DFARS Subpart 212-70. Under this CSO, the Air Force will be allowed to competitively procure innovativecommercial items, technologies, and services. CSO procedures provide a streamlined acquisition process and simplified contract terms resulting in FAR-based contracts awarded under Part 12 Commercial Item Procedures or awards made with Other Transactions (OTs) under 10 USC 4022. Both traditional and non-traditional defense contractors may be awarded contracts under this CSO. Under a CSO Air Force contracting officers may competitively select proposals received in response to a general competitive solicitation, similar to a broad agency announcement, based on a review of proposals by scientific, technological, or othersubject matter experts."," The purpose of this CSO is to allow for competitive selection of innovative commercial items, technologies, and services . The Air Force Installation and Mission Support Center (AFIMSC) is a vital engine for fostering innovation throughout the Air Force . The Government seeks an innovative solution to improve project outcomes"
a6df7526b4144496ad0f446409bd632b,SAF/CDM Commercial Solutions Opening and Specific Calls,FA7146-21-S-C-0001,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA7146  SAF OC PK,FA7146,2026-03-20 15:35:59.742-04,Solicitation,Solicitation,auto15,,,2026-09-30T23:59:00-04:00,541990,AC32,Yes,https://sam.gov/workspace/contract/opp/a6df7526b4144496ad0f446409bd632b/view,"Secretary of the Air Force Concepts Development and Management (SAF/CDM) Commercial Solutions Opening (CSO) for Defense-Related Activities FA7146-21-S-C001 Summary Title: CDM Defense-related activities Type: Closed/Open Two-Step CSO with Calls: Open PeriodInitiation to 1 September 2026 (for receipt of White Papers)Ordering PeriodInitiation to 30 September 2026 Active Calls for White Papers & Point of Contact (PoC) Information Call A002 (Posted 03/20/2026): AF/A1 Agile Refactoring and Integration (AR&I) A call for white papers for the AF/A1 Agile Refactoring and Integration (AR&I) has been issued For details, please refer to the full attachments to the posting. Points of contact for this specific call are located within the call documentation. Purpose and Objectives This Commercial Solutions Opening (CSO) is initiated under the Defense Commercial Solutions Offering Pilot Program. It allows for the competitive selection of innovative commercial items, technologies, and services. An award may result from a general CSO that identifies areas of mission or technical interest and includes a technical evaluation by subject matter experts. SAF/CDM seeks innovative commercial solutions or new capabilities that fulfill its requirements, close existing capability gaps, and/or offer technological advancements in meeting the Objectives and Focus Areas detailed in the CSO attachment. Submission Process This CSO follows a two-step process before any award. Step 1 White Paper Submission: Contractors may submit White Papers at any time during the Open Period. These should include a Cover Page, a Technical/Management section, and a Rough Order of Magnitude. When submitting, the email subject line must include the CSO number (FA7146-21-S-C001) and the specific call number, if applicable. Multiple submissions are permitted. Step 2 Proposal Submission: Following a review of the White Papers, the Procuring Contracting Officer (PCO) may invite selected contractors to submit a full Technical/Management and Price proposal. A proposal will not be considered without a prior White Paper submission and an invitation from the PCO. Eligibility and Award Information Eligibility: This is a full and open acquisition. White Papers will be considered from all interested vendors, including small businesses and non-traditional contractors. Foreign participation is allowed as specified in the attachment. Award: The Air Force anticipates making multiple awards under the Federal Acquisition Regulations or via Other Transaction Agreement authority. The Government reserves the right to award some, all, part, or none of a contractor's proposal. Points of Contact (POC) Procuring Contracting OfficerKevin Adamskevin.adams.20@us.af.mil(301) 203-4766 Program ManagerMs. Catherine Andersoncatherine.anderson.5@us.af.mil", Call A002 (Posted 03/20/2026): AF/A1 Agile Refactoring and Integration (AR&I) A call for white papers has been issued . This Commercial Solutions Opening (CSO) is initiated under the Defense Commercial Solutions Offering Pilot Program .
3fbbb3e89fc14c4dba0c4d11d85a10a1,A--Next Generation Sequencing (NGS) Services,68HERC24Q0155,ENVIRONMENTAL PROTECTION AGENCY,68.0,ENVIRONMENTAL PROTECTION AGENCY,6800,"CONSTRUCTION, FINANCE, ADMINISTRATIVE & IA DIVISION",68HERF,2026-03-20 15:18:32.402-04,Award Notice,Solicitation,auto15,,,,541715,AH51,Yes,https://sam.gov/workspace/contract/opp/3fbbb3e89fc14c4dba0c4d11d85a10a1/view,AH51 Next Generation Sequencing (NGS) Services,AH51 Next Generation Sequencing (NGS) Services
3285aae1efec494fa3802b30c50bcdb1,MDA Launcher,HQ0860-26-S-C005,DEPT OF DEFENSE,97.0,MISSILE DEFENSE AGENCY (MDA),97JC,MISSILE DEFENSE AGENCY (MDA),HQ0860,2026-03-20 12:37:14.016-04,Special Notice,Special Notice,auto15,,,2026-03-30T17:00:00-05:00,336415,AC13,Yes,https://sam.gov/workspace/contract/opp/3285aae1efec494fa3802b30c50bcdb1/view,"3/20/26 Announcement 3: An announcment has been provided via classified email and the unclassified solicition portal. ----- 3/19/26 Announcment 2: Responses to questions have been released via classified email and the unclassified solicition portal. This includes an amendment and impacted documents. ----- 3/3/26 Announcement 1: MDA’s preferred method of communication is via classified email. Offerors with access to a classified email system may submit requests for RPP documents, inquiries, and submit their proposal via classified email (mda.ab-launchers@mail.smil.mil). Additionally, if an offeror is unable to communicate via classified email please contact mda.ab-launchers@mail.mil for further instructions. Please note, any email requests sent from the unclassified network to the classified email address will not be received and cannot be processed. For access to RPP Documents, please provide company name, company/division address, CAGE code, unique identifier number, company point of contact for delivery (name, email and phone number), company Facility Security Officer point of contact (name, email and phone number), and classified mailing address. -------------------------------------------------------------------------------------------------------------- The Missile Defense Agency (MDA) “Launcher” solicitation seeks prototype proposals (10 USC 4022) related to the design, fabrication, testing, and demonstration of a novel launch system. Documents up to the SECRET classification are necessary to respond to this solicitation. These documents will be provided at the request of potential offerors with an active SECRET (or higher) FCL with SECRET (or higher) Safeguarding Level. For documents related to this request for prototype proposal, please contact: mda.ab-launchers@mail.smil.mil. Included in your request, please provide company name, company/division address, CAGE code, unique identifier number, company point of contact for delivery (name, email and phone number), and mailing address (if different than company/division address). This solicitation is posted under MDA's Nimble Options for Buying Layered Effects (NOBLE) Announcement, Solicitation No. HQ0860-25-S-0001."," The Missile Defense Agency (MDA) “Launcher” solicitation seeks prototype proposals (10 USC 4022) related to the design, fabrication, testing, and demonstration of a novel launch system . Offerors with access to a classified email system may submit requests for RPP documents"
d68bd3443a6f42ef99d1c8167344075a,Water Particle Counter,SLAC_363160_WaterParticleCounter,"ENERGY, DEPARTMENT OF",89.0,"ENERGY, DEPARTMENT OF",8900,SLAC Natl Accel Lab -DOE Contractor,899040,2026-03-20 10:14:34.189-04,Solicitation,Solicitation,auto15,,,2026-03-27T17:00:00-07:00,33399,AJ12,Yes,https://sam.gov/workspace/contract/opp/d68bd3443a6f42ef99d1c8167344075a/view,"SLAC National Accelerator Laboratory is operated by Stanford University for the Department of Energy. As a management and operating contractor, subcontracts awarded by the Laboratory are not Federal procurements, and are not directly subject to the Federal Acquisition Regulations in 48 CFR. Nonetheless, certain Federal laws, Executive Orders, and regulations may affect our DOE approved purchasing system, as required by statute, regulation, or contract terms and conditions. Please review the listed requirements and provide your best and final offer for both price and lead-time. The follow has been attached for you to complete and review: (BAA) Buy American Act Certification Representations & Certifications Rider Confirm Attached SLAC terms are accepted: FP Commercial Supplies-Services T&Cs (August 2023) Required item(s) listed below: UDI20+ water particle counter- Detection down to 0.02 Micron (20nm) – QTY: 1 Quote is for product only; no on-site services permitted. Source selection will be based on Lowest Price and Technically Acceptable Method (LPTA). Technical evaluation criteria are as follows: 1. The instrument shall be capable of detecting particles with a minimum size of 20 nm. 2. The tool shall contain at least four particle size channels at 20 nm, 50 nm, 70 nm, and 100 nm. 3. The system shall operate at a nominal sample flow rate of 75 mL/min ±10% 4. The instrument shall provide 100% counting efficiency of the sampled volume, ensuring accurate particle detection 5. The tool shall maintain a zero-count level of ? 50 counts per liter to ensure minimal background noise during measurements. 6. The particle counter shall operate with a maximum system pressure of up to 100 psi. 7. The tool shall accept the sample temperature range of 15–50 °C 8. The tool’s operating environment temperature is 18–29 °C to ensure measurement stability. 9. The system supports Ethernet communication and 4–20 mA analog outputs for data transmission and system integration. 10. The instrument provides five analog outputs via 4–20 mA signals, including four particle channels and one instrument status output. 11. The instrument requires 100–240 V AC power at 50–60 Hz for operation. 12. The lead time of this tool shall be 60 days or less after ARO. 13. The Vendor shall provide local support. 14. The Vendor Has conducted UPW business for more than 5 years. 15. The Vendor shall provide all new items. Prototypes, one-off systems, demonstration models, used or refurbished instruments will not be considered for award. Please provide a price and lead time quotation by COB 3/24/2026. Please be advised that the requirement was also posted on SAM.gov. Send quote to marissat@SLAC.stanford.edu. The bid closing date for this requirement is 3/24/2026. Is there any room for additional discount such as for Academic, ICPT, GSA, or Government Institutions? If possible, please provide a link to your webpage for published price list to substantiate for the prices quoted. Buy American Act Certification (BAA) applies to items that have a unit price that is over $15,000. Representations & Certifications Rider is required. Once completed the Reps and Certs is valid for one year until renewal. If you have already completed one within the year please disregard. Otherwise, please complete and return. Please include in your proposals the Harmonized Tariff Schedule (HTS Code) if applicable. All subcontractors are required to register in the System for Award Management (www.sam.gov). The resulting purchase order will be issued on a fixed price basis. SLAC National Accelerator Laboratory Terms and Conditions for Fixed Price Commercial Supplies and Services (Rev. August 2023) will be made a part of the resulting order. Payment Terms will be NET-30 (SLAC is unable to do advance payments and or Prepayments). Freight terms will be FOB Destination Prepaid and Add Foreign Vendors Shipments will be made CIP SLAC, Menlo Park, and Duty Unpaid. You are requested to mark and identify proprietary/confidential information provided in response to the solicitation. Contact me directly with any questions. Kind regards, Marissa Tanomrat Procurement Commodities Team SLAC National Accelerator Laboratory 2575 Sand Hill Road Menlo Park, CA 94025 Email: marissat@slac.stanford.edu", UDI20+ water particle counter- Detection down to 0.02 Micron (20nm) – QTY: 1 Quote is for product only; no on-site services permitted . Buy American Act Certification (BAA) applies to items that have a unit price that is over
1481a63e73f84f868c9cbe4f1f2d0a37,Code 70 Business Services Seaport Task Order Solicitation,N6660426R3005,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NUWC DIV NEWPORT,N66604,2026-03-20 10:05:02.718-04,Solicitation,Solicitation,autocustom,SDVOSBC,Service-Disabled Veteran-Owned Small Business Set Aside,2026-03-31T14:00:00-04:00,541330,AC34,Yes,https://sam.gov/workspace/contract/opp/1481a63e73f84f868c9cbe4f1f2d0a37/view,"The Naval Undersea Warfare Center Ranges, Engineering and Analysis Department (Code 70) has a requirement for business services in the areas of program, project, financial, and office management in support of the various Code 70 Programs. This Solicitation is for a task order under the SeaPort-NxG Multiple Award Contract. Amendment 0001 to address solicitation Q and A."," The Naval Undersea Warfare Center Ranges, Engineering and Analysis Department (Code 70) has a requirement for business services in the areas of program, project, financial, and office management . This Solicitation is for a task order under the SeaPort-NxG Multiple Award Contract"
8170c4735df64714adb2d1f8ce8671b1,Biomedical Advanced Research and Development Authority (BARDA) Broad Agency Announcement (BAA),BAA-23-100-SOL-00004,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",75.0,OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,7505,BARDA - ASPR / DAAPPO / BARDA DCMA,75A501,2026-03-20 10:01:22.761-04,Solicitation,Solicitation,auto15,,,2028-09-25T16:30:00-04:00,541714,AN13,Yes,https://sam.gov/workspace/contract/opp/8170c4735df64714adb2d1f8ce8671b1/view,"We appreciate your interest in partnering with BARDA. The latest BARDA Broad Agency Announcement (BAA) is Amendment 7 posted on March 19, 2026. All contracting-related inquiries should be sent to BARDA-BAA@hhs.gov. The final proposal submission deadline is September 25, 2028, at 4:30 PM Eastern Time for open areas of interest."," The latest BARDA Broad Agency Announcement (BAA) is Amendment 7 posted on March 19, 2026 . All contracting-related inquiries should be sent to BARDA-BAA@hhs.gov. The final proposal submission deadline is September 25, 2028 ."
