NoticeId,Title,Sol#,Department/Ind.Agency,CGAC,Sub-Tier,FPDS Code,Office,AAC Code,PostedDate,Type,BaseType,ArchiveType,SetASideCode,SetASide,PostedDate,ResponseDeadLine,NaicsCode,ClassificationCode,Active,Link,Description,ResponseDeadLine_Converted,ai_summary_description
7803afde554a42f58a9d274ff7e75403,Wearable Gunshot and Drone Detection,N6311626Q0527,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NAVAL HEALTH RESEARCH CENTER,N63116,2026-05-26 17:28:12.593-04,Special Notice,Special Notice,auto15,NONE,No Set aside used,2026-05-26 17:28:12.593-04,2026-06-02T23:59:00-04:00,541715.0,AC13,Yes,https://sam.gov/workspace/contract/opp/7803afde554a42f58a9d274ff7e75403/view,"This is a notice of intent to award a sole-source contract and is not a request for proposals. However, the Government shall consider all responses from responsible sources. Naval Health Research Center (NHRC), San Diego, CA, intends to enter into a contract with INTERNATIONAL FABRIC MACHINES INC., CAGE 8L4S7, CAMBRIDGE, MA. The statutory authority for this procurement is 10 U.S.C. 3204(a)(1), only one responsible source. Item/Service Description This requirement is for data collected by INTERNATIONAL FABRIC MACHINES (IFM) INC.'s computer shirts during live-fire and sUAS/drone acoustic events; predictions output through IFM's algorithms; and a technical report on model algorithm performance. IFM will generate these deliverables in part by supporting integration of its computer-fabric fibers into standard-issue garments; to be worn during live-fire, tactical, and threat-detection data collection events. Delivery Schedule 12 months. All contractors must be registered in the System for Award Management (SAM.gov) and have fully completed FAR and DFARS representations and certifications. Reference N6311626Q0527 on submissions and include Company Name, Full Address, CAGE Code and Point of Contact information including Name, Phone Number and E-Mail address.",2026-06-03 03:59:00+00:00," This is a notice of intent to award a sole-source contract and is not a request for proposals . The National Health Research Center (NHRC), San Diego, CA, intends to enter into a contract with INTERNATIONAL FABRIC MACHINES Inc., CAGE 8L4S7, CAMBRIDGE,"
a6197cceed6f48e6a136791acfa5df02,"Geostationary Littoral Imaging and Monitoring Radiometer (GLIMR) Access to Space (ATS) “GLIMR ATS""",80LARC26R00002,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80.0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,8000,NASA LANGLEY RESEARCH CENTER,80LARC,2026-05-26 15:46:27.449-04,Presolicitation,Presolicitation,autocustom,NONE,No Set aside used,2026-05-26 15:46:27.449-04,2026-06-22T15:00:00-04:00,541715.0,AR15,Yes,https://sam.gov/workspace/contract/opp/a6197cceed6f48e6a136791acfa5df02/view,"Draft RFP updated and attached on May 26, 2026, to revise provision L.7, Presolicitiaton Conference. _____________________________________________________________________________________________________ You are invited to review and comment on the National Aeronautics and Space Administration (NASA) Langley Research Center (LaRC)’s GLIMR ATS draft solicitation. The principal purpose of this requirement is to provide GLIMR ATS and related services, to include Spacecraft and Launch Vehicle; Integration Planning; Ground System Design, Integration, Testing, and Readiness; Instrument-Spacecraft Integration, Test, and Pre-Launch Processing; Spectrum Licensing and orbital slot authorization; Launch and GLIMR In-orbit Checkout; On-Orbit Spacecraft and Instrument Operations. Potential offerors are encouraged to comment on all aspects of the draft solicitation, including the requirements, schedules, proposal instructions, evaluation approaches, small business goals, any perceived safety, occupational health, security (including information technology security), environmental, export control, and/or other programmatic risk issues associated with performance of the work. Additional areas of emphasis that NASA is seeking feedback on include: a. Requirements Documents (Exhibits A, B and C) i. Inclusion of Payload Operations (Exhibit A – Statement of Work (SOW) 6.3.1.1) ii. Cost driving and/or unrealistic requirements b. Technical Approach/Oral Presentation (Reference Section L.16) i. Clarity on allowable Attendees ii. Clarity on anticipated Format c. Small Business Participation (L.18 (b)) i. Clarity of establishing and utilizing Small Business Subcontracting d. Method of Evaluation (Section M) i. Past Performance ii. Technical Approach/Oral Presentation NASA will conduct this acquisition under full and open competition. This competitive acquisition will result in a Firm Fixed Price (FFP) Contract with Milestone based payments. The potential period of performance is anticipated to be a total of five (5) years, including a three (3) year Base Period, a one (1) year Option Period 1, and a one (1) year Option Period 2; however, is dependent on the potential offeror’s solution. The North American Industry Classification System (NAICS) code for this acquisition is 541715 and the small business size standard is 1,000 employees. Potential offerors should ensure its company is listed in the online database(s) for the following: (1)System for award management: https://www.sam.gov/SAM/ (2)U.S. Department of Labor Veterans’ Employment and Training Service, VETS-4212Reports: https://vets4212.dol.gov/vets4212/ (3)US Government’s unique entity identifier (UEI): https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services/integrated-award-environment-iae/iae-systems-information-kit/unique-entity-identifier-update The current planned release date for the Final Request for Proposal (RFP) is on or about late July 2026, with proposals due approximately 45 calendar days later. Past Performance (Volume I) submission will be due approximately 15 calendar days after RFP release, with the remaining submission due approximately 30 calendar days after Volume I submission. The anticipated contract effective date is Mid-January 2027. The contract will be performed offsite at the Contractor’s facilities. The following additional information is provided to assist in understanding this acquisition: 1.After release of the DRFP, the GLIMR ATS Pre-solicitation Conference is anticipated to be held on June 3, 2026, as indicated at provision L.7 of this DRFP. Notice will be posted on the acquisition website noted below. Potential offerors are encouraged to submit questions and feedback prior to the conference being held. Live questions will not be permitted during the conference. 2.Final questions/comments are requested in response to this DRFP no later than June 22, 2026, at 3:00PM Eastern Standard Time. 3.Disclosure of Artificial Intelligence (AI) Use During Contract Performance. Offerors are required to disclose any intent to propose, or plan to use Artificial Intelligence (AI) to perform contract requirements. 4.Proposals for this solicitation are required to be submitted through NASA’s Enterprise File Sharing and Sync Box (EFSS Box), a FedRAMP Moderate certified platform. Potential offerors, especially those that have not previously submitted a proposal utilizing NASA’s EFSS Box, are encouraged to review the solicitation instruction entitled“Electronic Proposal Delivery - Proposal Marking and Delivery Through NASA’s EFSS Box” which provides instructions related to the submission of proposal via EFSS Box. Offerors are encouraged to check with their corporate IT staff to determine if there are firewall restrictions that need to be addressed prior to the submission of proposal files through NASA’s EFSS Box. To control and protect sensitive data owned by the Government and its Contractors, NASA policy requires all acquisition-related documents be released in Adobe Portable Document Format (PDF). Documents related to this procurement, including this letter, the solicitation, attachments, exhibits, and any amendments, will be attainable electronically from the World Wide Web through the Government-wide point of entry website at www.SAM.gov. Potential Offerors are requested to periodically monitor the websites for updates. NASA FAR Supplement (NFS) clause 1852.215-84, OMBUDSMAN, is applicable. The Ombudsman for this acquisition can be found here: https://www.hq.nasa.gov/office/procurement/regs/Procurement-Ombuds-Comp-Advocate-Listing.pdf This DRFP is not a solicitation, and NASA is not requesting proposals. This DRFP does not commit NASA LaRC to pay any proposal preparation costs, nor does it obligate NASA LaRC to procure or contract for this requirement. This request is not an authorization to proceed and does not authorize payment for any charges incurred by the offeror for performing any of the work called for in this solicitation. Any questions and comments regarding the DRFP should be submitted electronically in writing, to Ashley Korahaes, Contracting Specialist, and Stacy Hollis, Contracting Officer, at larc-glimr-ats@mail.nasa.gov . If a respondent believes their comments contain confidential, proprietary, competition sensitive, or business information, those questions/comments shall be marked appropriately. However, questions that are marked as containing confidential, proprietary, competition sensitive or business information will not be provided a Government response. The Government will consider all comments received in preparation of the Final RFP. To the extent a comment leads the Government to revise the procurement approach or requirements, the change will be reflected in the Final RFP. Some DRFP questions and comments may receive a posted response to the GPE if the Contracting Officer determines that a response would facilitate additional understanding of the solicitation. The Government may also respond via the GPE to comments and/or questions received following the issuance of the Final RFP. See attached Draft RFP Cover Letter and attachments for full details. ____________________________________________________________________________________________________ This notice is a synopsis for Geostationary Littoral Imaging and Monitoring Radiometer (GLIMR) Access to Space (ATS) “GLIMR ATS.” The purpose of this notice is to provide potential Offerors information regarding the procurement strategy, identify key upcoming milestones, and allow for comments on the draft requirement document(s). THIS INFORMATION IS FOR PLANNING PURPOSES ONLY AND IS SUBJECT TO CHANGE. The Government intends to release a draft RFP. However, the Government encourages questions, comments and feedback to the documentation attached to this synopsis. As applicable, this notice will be updated based on continued industry engagement and feedback. See attached document titled ""Pre-Solicitation"" for full details.",2026-06-22 19:00:00+00:00, The National Aeronautics and Space Administration (NASA) Langley Research Center (LaRC)’s GLIMR ATS draft solicitation . The principal purpose of this requirement is to provide GLIMr ATS and related services . The potential period of performance is anticipated to be a total of five (5) years .
25ac2a7832cd4b3f8e87c444e1bf4885,Call 02 DASH - Joint All Domain Persistent Adaptive Collaborative Technologies II (JADPACT II),FA238426SB006,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA2384 USAF AFMC AFRL PZL AFRL RAKH,FA2384,2026-05-26 15:39:52.929-04,Solicitation,Solicitation,auto15,NONE,No Set aside used,2026-05-26 15:39:52.929-04,2026-06-03T17:00:00-04:00,541715.0,AC11,Yes,https://sam.gov/workspace/contract/opp/25ac2a7832cd4b3f8e87c444e1bf4885/view,"Amendment 1, 26 May 2026 The purpose of amendment 1 is to update the file ""DASH Closed Call 02"". _____________________________________________________________________________________________________ BAA No. FA2384-26-S-B004, Joint All-Domain Transformational Model II Solicitation No. FA2384-26-S-B006, Decision Advantage Sprint for Human Machine Teaming (DASH) Event The Joint All Domain Persistent Adaptive Collaborative Technologies (JADPACT) Project seeks to develop Human-Machine Teaming (HMT) concepts that leverage AI/Automation capabilities to support Battle Managers. C2 Decision Advantage events provide support for the ABMS Transformational Model decision functions and an opportunity to learn about and explore many different AI/automation approaches for Battle Management. Furthermore, the events and R&D aim to ensure warfighter involvement in the development of AI/autonomy and further identify areas where autonomy would support Battle Managers. The goal is to include industry to ensure work being done to develop and adapt the latest, cutting-edge AI/automation approaches can be leveraged and adapted to the needs of Battle Managers. This will be accomplished by seeking unique and innovative solutions to accomplish the defined technical requirements. The Combined Joint All-Domain Command and Control (CJADC2) Campaign Plan 2030 defines decision advantage as the ability to consistently make better, timelier decisions than the adversary. Current DAF command and control (C2) systems and processes are optimized for low intensity conflict and do not address decision advantage over the pacing challenge. Deriving effective C2 capability development toward decision advantage requires a clear understanding of what C2 decisions are. The DAF Advanced Battle Management System (ABMS) Cross Functional Team (CFT) provides a quantitative model for the Joint Warfighting Function of C2 as the Command, Plan, and Battle Management decision domains. Each of these decision domains are decomposed in the Transformational Model for Decision Advantage (TM-DA) using model-based systems engineering which bring these C2 decisions to light in a detailed manner. The Decision Advantage Sprint for Human-Machine Teaming (DASH) event is tentatively scheduled for 13 July - 23 July 2026 in Las Vegas, NV. A virtual Ask Me Anything session is scheduled for 29 May 2026 at 1100 EST (Details in paragraph 2.2 of the Call).",2026-06-03 21:00:00+00:00, The Joint All Domain Persistent Adaptive Collaborative Technologies (JADPACT) Project seeks to develop Human-Machine Teaming concepts that leverage AI/Automation capabilities to support Battle Managers . The Decision Advantage Sprint for Human Machine Teaming (DASH) event is tentatively scheduled for 13 July - 23 July 2026 in
e560732436164a67b9d261bf08af97e4,Notice of Intent – Weaponeering and Stores Planning (WASP) Software Development,N00019-26-RFPREQ-WPM281-0151,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NAVAL AIR SYSTEMS COMMAND,N00019,2026-05-26 14:28:36.881-04,Presolicitation,Sources Sought,auto15,NONE,No Set aside used,2026-05-26 14:28:36.881-04,2026-06-10T23:59:00-04:00,541519.0,AC13,Yes,https://sam.gov/workspace/contract/opp/e560732436164a67b9d261bf08af97e4/view,"The Naval Air Systems Command (NAVAIR), Patuxent River, MD intends to negotiate and award a sole source Indefinite Delivery/Indefinite Quantity (IDIQ) contract to DCS Corporation (DCS) for the procurement of continued development, delivery, and sustainment of the Weapons and Store Loading (WASP) Foreign Military Sales (FMS) software application. The WASP software application provides automated weapons and store loading, and delivery planning, and is certified as a permanent flight clearance application for the F/A-18A-F and EA-18G. DCS Corporation possesses the highly specialized domain knowledge and technical expertise required to support the concurrent development and testing of WASP for both U.S. Navy and FMS customers. DCS Corporation has been the sole developer of WASP for almost twenty years. DCS Corporation has been responsible for the design and execution of all updates to the WASP application architecture, logic and code as well as data updates for F/A-18 and EA-18G aircraft and association weapon systems making them uniquely qualified to meet the Government’s need for WASP Legacy development and delivery. This contract is being pursued on a sole source basis under the statutory authority of 10 U.S.C. 3204(a)(1), as only one responsible source and no other supplies or services will satisfy agency requirements. Award of this follow-on requirement to any source other than DCS Corporation would result in unacceptable delays. DCS Corporation is the only source with the requisite in-depth knowledge and specialized expertise required to perform this effort without unacceptable delays. Updates of WASP software versions developed under the WASP Legacy BOA will run concurrently with the WASP FMS IDIQ. Data and code from the previous WASP series must be merged into the next version of WASP during its development. Accordingly, only the incumbent, DCS, can manage the merge of the data without unacceptable delays or impact to the fleet. THIS NOTICE OF INTENT IS NOT A REQUEST FOR COMPETITIVE PROPOSALS. Interested parties, however, may identify their interest and capability by responding to the requirement. The Government will consider all information received prior to the closing date of this synopsis. Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement. A determination by the Government not to compete the proposed contract based upon responses to this notice is solely within the discretion of the Government. There is no commitment by the Government to issue a solicitation, make an award or awards, or to be responsible for any monies expended by any interested parties before award of a contract for the effort mentioned above. Information provided herein is subject to change and in no way binds the Government to solicit for or award a contract. No phone inquiries will be entertained. Responses shall be made in writing by e-mail to the attention of Jennifer Davis at jennifer.d.davis1.civ@us.navy.mil using the contact information provided in this synopsis. Companies interested in subcontracting opportunities should contact DCS directly.",2026-06-11 03:59:00+00:00," The Naval Air Systems Command (NAVAIR) intends to negotiate and award a sole source Indefinite Delivery/Indefinite Quantity (IDIQ) contract to DCS Corporation (DCS) for the procurement of continued development, delivery, and sustainment of the Weapons and Store Loading (WASP) Foreign Military Sales (F"
bacad695574442f6bbfdb0a584e25a00,Reverse Osmosis Water System,36C257-26-AP-2923,"VETERANS AFFAIRS, DEPARTMENT OF",36.0,"VETERANS AFFAIRS, DEPARTMENT OF",3600,257-NETWORK CONTRACT OFFICE 17 (36C257),36C257,2026-05-26 13:36:18.836-04,Sources Sought,Sources Sought,auto15,,,2026-05-26 13:36:18.836-04,2026-05-29T12:00:00-05:00,221310.0,AN14,Yes,https://sam.gov/workspace/contract/opp/bacad695574442f6bbfdb0a584e25a00/view,"The South Texas Veterans Health Care System, Research and Development Department, is seeking Reverse Osmosis Water System services to include a Base Year plus four (4) Option Years of basic monthly service agreement coverage. The Reverse Osmosis (RO) Water System is located in the Research Service, Room V203.",2026-05-29 17:00:00+00:00," The South Texas Veterans Health Care System, Research and Development Department, is seeking Reverse Osmosis Water System services to include a Base Year plus four (4) Option Years of basic monthly service agreement coverage ."
9c47ad00291343ad8b22f15cf93fe208,Cap-dependent endonuclease inhibitors (CENis) - NHRC,N0018926QB059,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NAVSUP FLT LOG CTR NORFOLK,N00189,2026-05-26 13:16:13.42-04,Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,auto15,NONE,No Set aside used,2026-05-26 13:16:13.42-04,2026-05-28T17:00:00-04:00,541715.0,AN42,Yes,https://sam.gov/workspace/contract/opp/9c47ad00291343ad8b22f15cf93fe208/view,"The preclinical development of Cap-dependent endonuclease inhibitors (CENi), a class of small molecules, as broad-spectrum antiviral therapeutics. The scope of this project includes all activities required to select lead CENi candidates, including in vitro and in vivo efficacy studies and characterization and optimization of lead compounds. This includes Research Support expertise regarding the preclinical development of cap-dependent endonuclease inhibitors (CENis) with viruses that require biosafety level 4 (BSL-4) containment to support the Naval Medical Research Command in Fort Detrick, MD. This work will be performed over a 36-month period.",2026-05-28 21:00:00+00:00," Cap-dependent endonuclease inhibitors (CENi), a class of small molecules, as broad-spectrum antiviral therapeutics . The scope of this project includes all activities required to select lead CENi candidates, including in vitro and in vivo efficacy studies and characterization and optimization of lead compounds ."
0085814b2fa8448cabf0cecb914935d5,RFI for USSOCOM Technical Experimentation (TE) 26-4: Signature Management and Defeat,RFI_TE_26_4_Signature_Management_and_Defeat,DEPT OF DEFENSE,97.0,US SPECIAL OPERATIONS COMMAND (USSOCOM),97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),,2026-05-26 11:41:37.121-04,Special Notice,Special Notice,auto15,,,2026-05-26 11:41:37.121-04,2026-06-25T12:00:00-04:00,541715.0,AC13,Yes,https://sam.gov/workspace/contract/opp/0085814b2fa8448cabf0cecb914935d5/view,****See Attachments****,2026-06-25 16:00:00+00:00,****See Attachments****
187b411f5dab477c8ad6060bf01ec20e,Request for Whitepapers: AEDC Velocity Alliance - A Multi-Billion Dollar OTA Consortium Opportunity,FA9101-26-9-Velocity_Alliance,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA9101  AEDC PKP   PROCRMNT BR,FA9101,2026-05-26 10:47:24.226-04,Solicitation,Solicitation,auto15,,,2026-05-26 10:47:24.226-04,2030-09-30T17:00:00-05:00,541330.0,AC13,Yes,https://sam.gov/workspace/contract/opp/187b411f5dab477c8ad6060bf01ec20e/view,"1. Strategic Purpose: The Department of the Air Force, through the Air Force Test Center (AFTC) and Arnold Engineering Development Complex (AEDC), announces the establishment of the AEDC Velocity Alliance. This strategic consortium-based initiative is established under the authority of 10 U.S.C. § 4022 to accelerate the modernization of national test infrastructure in direct support of next-generation defense systems and key National Defense Strategy objectives. The objective is to establish a pre-qualified industrial base to execute a multi-billion dollar portfolio of complex engineering and construction projects. Upon establishment, all projects under this initiative will be competed exclusively among Alliance members. 2. Key Dates for Industry: The Government intends to onboard members in multiple phases. Onboarding Opportunity 1: Questions Due: 1 May 2026, Close of Business (COB) Whitepapers Due: 1 June 2026, COB Mandatory Site Visit Window: 1 June 2026 – 30 June 2026 (Exact date will be communicated to vendors with successful submissions) Anticipated Consortium Live Date: 1 July 2026 Onboarding Opportunity 2: Whitepapers Due: 1 September 2026, COB Mandatory Site Visit Window: 1 September 2026 – 30 September 2026 This Request for Whitepaper notice will remain active until: 30 September 2032. 3. Action Required: We invite all interested and qualified vendors to carefully review the attached documents in their entirety to ensure all mandatory onboarding criteria are satisfied within their whitepaper submission. 4. Classification Codes: Primary NAICS Code: 541330 - Engineering Services: This NAICS Code will be utilized to determine size standard for consortium onboarding. Primary NAICS code at the project level may differ from 541330 and will be established in each Project Oppurtunity Announcement. Primary PSC Code: AC13 - National Defense R&D Services; Department of Defense - Military; Experimental Development (Note: While these are the primary codes, any NAICS/PSC code that fits within the scope of the Program Objectives is acceptable.) Amendments: 30 Mar 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-3.30.26.pdf 31 Mar 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-3.31.26.pdf 31 Mar 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-3.31.26-2.pdf 14 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.15.26.pdf Section 4: Classification Codes was modified to clarify the following: Primary NAICS Code: 541330 - Engineering Services: This NAICS Code will be utilized to determine size standard for consortium onboarding. Primary NAICS code at the project level may differ from 541330 and will be established in each Project Oppurtunity Announcement. 17 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.17.26.pdf 21 Apr 26: Posted the following Amended Documents - AEDC Velocity Alliance - Request for Whitepaper-Amend 1 - 21 Apr 26.pdf Atch 1 - AEDC Velocity Alliance Program Objectives - 21 Apr 26.pdf Atch 2 - AEDC Velocity Alliance Base Articles - 21 Apr 26.pdf AEDC Velocity Alliance Consortium_Q_A-4.21.26.pdf (Answer to Q.9 Amended) 23 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.23.26.pdf 24 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.24.26.pdf 27 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.27.26.pdf 28 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.28.26.pdf 30 Apr 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-4.30.26.pdf 1 May 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-5.1.26.pdf 1 May 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-5.1.26-2.pdf 12 May 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-5.12.26.pdf 15 May 26: Posted Amendment 2, Amendment 2 summary of changes, and Atch 5-UTSI Map. This amendment establishes the date/time/location for Oppurtunity 1 Mandatory Site Visit (Industry Day) 22 May 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-5.22.26.pdf 26 May 26: Posted Question and Answers received to date in document - AEDC Velocity Alliance Consortium_Q_A-5.26.26.pdf",2030-09-30 22:00:00+00:00, The Department of the Air Force announces the establishment of the AEDC Velocity Alliance . The objective is to establish a pre-qualified industrial base to execute a multi-billion dollar portfolio of complex engineering and construction projects . All projects under this initiative will be competed exclusively among Alliance members .
f4721e35ef2b47149be60e6c611561f4,Critical Illness Immunological Reprogramming and Control Point Learning Engine (CIRCLE) Innovative Solutions Opening (ISO),ARPA-H-SOL-26-139,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",75.0,NATIONAL INSTITUTES OF HEALTH,7529,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),75N992,2026-05-26 09:58:33.842-04,Solicitation,Solicitation,auto15,NONE,No Set aside used,2026-05-26 09:58:33.842-04,2026-05-28T13:00:00-04:00,541715.0,AN13,Yes,https://sam.gov/workspace/contract/opp/f4721e35ef2b47149be60e6c611561f4/view,"Responses to all questions received have been posted on the CIRCLE program page. At this time, additional questions will not receive responses. The Advanced Research Projects Agency for Health (ARPA-H) is posting this Innovative Solutions Opening (ISO) solicitation in support of the Critical Illness Immunological Reprogramming and Control Point Learning Engine (CIRCLE) Program. ARPA-H anticipates that multiple Other Transaction (OT) Agreements will result from this announcement. CIRCLE seeks to create a critical illness Control Point Validation Engine that leads to improvements in intensive care unit (ICU) health outcomes, coupled to reduced stay time and associated costs, by assessing, predicting, and treating immuno-inflammatory dysregulation before it causes organ failure. Interested parties are invited to review the attached CIRCLE ISO ARPA-H-SOL-26-139 and its Attachments A – F. Proposer's Day: Wednesday, March 11, 2026 (ARPA-H-SN-26-149) Solution Summaries Due: Monday, March 30, 2026, 1 PM ET (to https://solutions.arpa-h.gov) Questions Due: Friday, May 22, 2026, 1 PM ET (to https://solutions.arpa-h.gov/Ask-A-Question/) Full Proposals Due: Thursday, May 28, 2026, 1 PM ET (to https://solutions.arpa-h.gov) ARPA-H will not reimburse potential proposers for time and effort related to submission of solution summaries or proposals. When planning a response to this notice, proposers should consider that some parts of the submission process may take from one business day to one month to complete. -------------------------- Amendment 1 -------------------------- The purpose of this amendment is to: change the proposal submission date to Thursday, May 28, 2026 and replace Office of Commercialization (OC) with ARPA-H. -------------------------- Amendment 2 -------------------------- The purpose of this amendment is to provide revisions as highlighted in yellow in the attached documents. -------------------------- Amendment 3 -------------------------- The purpose of this amendment is to provide revisions as highlighted in yellow in the attached documents. -------------------------- Amendment 4 -------------------------- The purpose of this amendment is to provide revisions as highlighed in yellow in the attached documents.",2026-05-28 17:00:00+00:00, The Advanced Research Projects Agency for Health (ARPA-H) is posting this Innovative Solutions Opening (ISO) solicitation in support of the Critical Illness Immunological Reprogramming and Control Point Learning Engine (CIRCLE) Program . CIRCLE seeks to create a critical illness Control Point Validation Engine that leads to improvements
248766efd32d4e92981c06d00a889122,Intelligent Generator of Research (IGoR),ARPA-H-SOL-26-155,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",75.0,NATIONAL INSTITUTES OF HEALTH,7529,ADVANCED RESEARCH PROJECTS AGENCY FOR HEALTH (ARPA-H),75N992,2026-05-26 09:54:37.903-04,Solicitation,Solicitation,auto15,NONE,No Set aside used,2026-05-26 09:54:37.903-04,2026-08-06T12:00:00-04:00,541715.0,AN13,Yes,https://sam.gov/workspace/contract/opp/248766efd32d4e92981c06d00a889122/view,"Amendment 01 adds Appendix E_Draft Model OT Agreement and provides revisions to Appendix B_Solution Summary Format and Instructions, as highlighted. --------------------------------------------------------------------------------------- ARPA-H intends to host a hybrid Proposers Day in early June in the Washington, D.C. metro area. Additional information will be posted when it becomes availiable. The Intelligent Generator of Research (IGoR) program aims to eliminate longstanding inefficiencies in research and accelerate the development of effective therapies for complex diseases by creating an AI-enabled interoperable research ecosystem. IGoR would develop: 1) mechanistic disease models that encode causal biological relationships across scales, 2) an AI orchestration layer that identifies knowledge gaps and designs optimal experiments, 3) a layered protocol architecture that enables any qualified laboratory to execute the same experiment reproducibly, and 4) a distributed marketplace of validated laboratories that execute standardized protocols and return gold-standard data. Together, these components form a cycle of hypothesis generation, experimentation, and model refinement that enables researchers to create validated knowledge at least 10x more rapidly than conventional approaches. Ultimately, IGoR will empower researchers at every level to pursue bold, unconventional research directions that are currently too slow, too complex, or too resource?intensive.",2026-08-06 16:00:00+00:00," Amendment 01 adds Appendix E_Draft Model OT Agreement and provides revisions to Appendix B_Solution Summary Format and Instructions . ARPA-H intends to host a hybrid Proposers Day in early June in Washington, D.C. metro area ."
