NoticeId,Title,Sol#,Department/Ind.Agency,CGAC,Sub-Tier,FPDS Code,Office,AAC Code,PostedDate,Type,BaseType,ArchiveType,SetASideCode,SetASide,PostedDate,ResponseDeadLine,NaicsCode,ClassificationCode,Active,Link,Description,ResponseDeadLine_Converted,ai_summary_description
a0c200ce4fbe48a1ba07d7d96034b4b9,Area of Interest for Case Development Modernization (CDM),WHSCSO26AOI02,DEPT OF DEFENSE,97.0,WASHINGTON HEADQUARTERS SERVICES (WHS),97F5,WASHINGTON HEADQUARTERS SERVICES,HQ0034,2026-03-27 17:25:20.893-04,Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,autocustom,NONE,No Set aside used,2026-03-27 17:25:20.893-04,2026-04-08T16:00:00-04:00,541715,AC32,Yes,https://sam.gov/workspace/contract/opp/a0c200ce4fbe48a1ba07d7d96034b4b9/view,"AMENDMENT 1 - Questions and Answers (attached), and Submission date modified to 4PM (ET), April 8, 2026. The Defense Security Assistance Management System (DSAMS) is a mission essential system for the Security Cooperation (SC) community that provides military departments (MILDEPs) and Defense Agencies with the functionality necessary to develop and implement all unclassified Security Assistance (SA) cases, from the point of the customer's request for material/services through the establishment of the legal terms/conditions, initial pricing, payment schedules, and production of the Letter of Offer and Acceptance (LOA) document, and ending with confirmation that initial funding and obligation authority is in the place to proceed with case execution. DSAMS provides additional functionality for foreign military sales (FMS) Training and Grant Training, commonly referred to as the training module. This provides the capability to fully execute cases involving foreign military training (as opposed to weapon systems or spare parts) for the military departments (MILDEP). Originally created nearly three (3) decades ago, it remains the information technology (IT) backbone of foreign military sales. The President's executive order EO 14268 'Reforming Foreign Defense Sales to Improve Speed and Accountability' calls on Department of War (DoW) to modernize the entire case life cycle process to reduce time to delivery of materials and to increase transparency within the process; such that stakeholders in Security Cooperation enterprise can have improved delivery experience. Additionally, the Case Launcher product prototype is currently under development. This prototype includes capabilities such as initializing a case, creating, editing, and tasking case lines, reviewing and entering case data and a Single Tracking System prototype for tracking foreign military sales efforts throughout the Case Lifecyle per EO 14268. A modernized Case Development Life Cycle is critical to achieving the goals outlined in the executive order. The Information Management & Technology (IM&T) case development modernization (CDM) requires the development of a modernized Case Lifecycle system to address critical challenges and evolving mission needs within the Security Cooperation enterprise. The modernization aims to streamline the FMS case development process, enhance transparency, reduce delivery timelines, and ensure compliance with cybersecurity, accessibility, and Zero Trust standards. As of now, no single Task Management or Document Repository system exists. The CDM initiative includes task management and document repository capability requirements that support the overall Case Lifecycle to streamline task management and have the capability for case life cycle document repository. It should integrate seamlessly with the CDM system for efficient data exchange and reporting. By leveraging modem technologies, architectures, and methodologies, CDM will deliver a unified, scalable, and efficient platform that supports the entire Case Lifecycle while ensuring interoperability with other systems across the DoW. Key objectives to achieve include: 1.) Replace legacy functions and features by modernizing applications to reduce technical debt and application variance resulting in improved scalability, data transparency and efficiency. 2.) Develop a modern system to adhere with cybersecurity, accessibility and data protection compliance requirements like Zero Trust, 508, FISCAM Audit and other applicable STIGs. 3.) Implement applicable case lifecycle improvements identified as part of CPIB recommendations and other executive orders.? SEE ATTACHED Areas of Interest for additional information",2026-04-08 20:00:00+00:00," Defense Security Assistance Management System (DSAMS) is a mission essential system for the Security Cooperation community . DSAMS provides additional functionality for foreign military sales (FMS) Training and Grant Training, commonly referred to as the training module . Case Launcher product prototype is currently under development ."
76cbcaeca976414eb1464c374e043d68,SAF/CDM Commercial Solutions Opening and Specific Calls,FA7146-21-S-C-0001,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA7146  SAF OC PK,FA7146,2026-03-27 17:17:54.763-04,Solicitation,Solicitation,auto15,,,2026-03-27 17:17:54.763-04,2026-09-30T23:59:00-04:00,541990,AC32,Yes,https://sam.gov/workspace/contract/opp/76cbcaeca976414eb1464c374e043d68/view,"Secretary of the Air Force Concepts Development and Management (SAF/CDM) Commercial Solutions Opening (CSO) for Defense-Related Activities FA7146-21-S-C001 Summary Title: CDM Defense-related activities Type: Closed/Open Two-Step CSO with Calls: Open PeriodInitiation to 1 September 2026 (for receipt of White Papers)Ordering PeriodInitiation to 30 September 2026 Active Calls for White Papers & Point of Contact (PoC) Information Call A002 (Posted 03/20/2026): AF/A1 Agile Refactoring and Integration (AR&I) A call for white papers for the AF/A1 Agile Refactoring and Integration (AR&I) has been issued For details, please refer to the full attachments to the posting. Points of contact for this specific call are located within the call documentation. Purpose and Objectives This Commercial Solutions Opening (CSO) is initiated under the Defense Commercial Solutions Offering Pilot Program. It allows for the competitive selection of innovative commercial items, technologies, and services. An award may result from a general CSO that identifies areas of mission or technical interest and includes a technical evaluation by subject matter experts. SAF/CDM seeks innovative commercial solutions or new capabilities that fulfill its requirements, close existing capability gaps, and/or offer technological advancements in meeting the Objectives and Focus Areas detailed in the CSO attachment. Submission Process This CSO follows a two-step process before any award. Step 1 White Paper Submission: Contractors may submit White Papers at any time during the Open Period. These should include a Cover Page, a Technical/Management section, and a Rough Order of Magnitude. When submitting, the email subject line must include the CSO number (FA7146-21-S-C001) and the specific call number, if applicable. Multiple submissions are permitted. Step 2 Proposal Submission: Following a review of the White Papers, the Procuring Contracting Officer (PCO) may invite selected contractors to submit a full Technical/Management and Price proposal. A proposal will not be considered without a prior White Paper submission and an invitation from the PCO. Eligibility and Award Information Eligibility: This is a full and open acquisition. White Papers will be considered from all interested vendors, including small businesses and non-traditional contractors. Foreign participation is allowed as specified in the attachment. Award: The Air Force anticipates making multiple awards under the Federal Acquisition Regulations or via Other Transaction Agreement authority. The Government reserves the right to award some, all, part, or none of a contractor's proposal. Points of Contact (POC) Procuring Contracting OfficerKevin Adamskevin.adams.20@us.af.mil(301) 203-4766 Program ManagerMs. Catherine Andersoncatherine.anderson.5@us.af.mil",2026-10-01 03:59:00+00:00, Call A002 (Posted 03/20/2026): AF/A1 Agile Refactoring and Integration (AR&I) A call for white papers has been issued . This Commercial Solutions Opening (CSO) is initiated under the Defense Commercial Solutions Offering Pilot Program .
89f3d1499ea248a48c93ecbff8ebec1f,UTILITY CARTS,380538,"ENERGY, DEPARTMENT OF",89.0,"ENERGY, DEPARTMENT OF",8900,FERMILAB - DOE CONTRACTOR,899034,2026-03-27 16:05:35.427-04,Solicitation,Solicitation,auto15,NONE,No Set aside used,2026-03-27 16:05:35.427-04,2026-04-10T16:00:00-05:00,336999,AG15,Yes,https://sam.gov/workspace/contract/opp/89f3d1499ea248a48c93ecbff8ebec1f/view,"Request for Quote | brand name or item specifications equal to Fermi Forward Discovery Group (FFDG) FOR FERMILAB has a requirement for UTILITY CARTS NAICS Code for this procurement is 336999 Fermi Forward Discovery Group (FFDG) Strategic Commercial Purchasing located in Batavia, Illinois issuing a Request for Quote (RFQ) for a commercial, single award contract to. This is a combined synopsis/solicitation for commercial products or commercial services prepared in accordance with the format in FAR subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested, and a written solicitation will not be issued. Fermi Forward Discovery Group (FFDG) intends to award Firm Fixed Price (FFP) contract. This is an all-or-non requirement, and the government will award a single purchase order to the offeror responsible whose offer conforms to the requirements as stated in the solicitation and is most advantageous to the Government based on the criteria listed within this solicitation. COLUMBIA EXPEDITER 24 V MODEL# EX24V-25-712 QTY 2 COLUMBIA EXPEDITER 24 V MODEL# EX24V-25-30 QTY 4 Oral communications are not acceptable in response to this notice. Interested organizations may submit their capabilities and qualifications to perform the effort in writing to the identified point of contact no later than 4:00 p.m. Central Standard Time on 4/10/2026. Such capabilities /qualifications will be evaluated solely for the purpose of determining whether to conduct this procurement on a competitive basis. A decision by the Government not to compete this proposed effort on full and open competition basis, based upon responses to this notice, is solely with the discretion of the government. The following terms and conditions shall become a part of any subsequent purchase order/subcontract resulting from this RFP. FRA General Terms and Conditions for Commercial Products and Commercial Services (8/2025) The above referenced terms and conditions are available on the Fermilab Business Services Web Site. They are PDF Format and can be accessed at the following URL: https://procurement.fnal.gov/terms-conditions/ FERMI Strategic Commercial Purchasing will be the procuring center for this effort. All equipment and or services are to be delivered F.O.B. Fermi National Accelerator Laboratory (Fermilab), Batavia, IL 60510, Freight prepaid (delivered). The following Representations must be completed and returned with your proposal. SARC – Subcontractor Annual Reps & Certs PUR-466 – Proposal Certifications The RFP response shall include a completed RFP page include a price, with a completed SARC and PUR-466. All contractual questions shall be directed to: Cathleen E. Stadler Procurement Specialist 630-840-2763 cstadler@fnal.gov",2026-04-10 21:00:00+00:00," Fermi Forward Discovery Group (FFDG) Strategic Commercial Purchasing located in Batavia, Illinois issuing a Request for Quote (RFQ) for a commercial, single award contract . The government will award a single purchase order to the offeror responsible whose offer conforms to the requirements as stated in the solicitation and is most advantageous"
0c6f40ff4b65423c821921aa8b94a62e,NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,N00173-24-S-BA01,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NAVAL RESEARCH LABORATORY,N00173,2026-03-27 13:56:12.853-04,Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,auto15,,,2026-03-27 13:56:12.853-04,2026-09-30T16:00:00-04:00,541715,AJ11,Yes,https://sam.gov/workspace/contract/opp/0c6f40ff4b65423c821921aa8b94a62e/view,"Amendment 0005 The purpose of this amendment is to extend the due date for acceptance of White Papers. All other terms and conditions remain unchanged. -------------------------------------------------------------- Amendment 0004 The purpose of this amendment is to extend the due date for acceptance of White Papers and revise Appendix 1 Summary Topics and email addresses in it’s entirety. -------------------------------------------------------------- Amendment 0003 The purpose of this amendment is to extend the due date for acceptance of White Papers. All other terms and conditions remain unchanged. -------------------------------------------------------------- Amendment 0002 The purpose of this amendment is to extend the due date for acceptance of White Papers. All other terms and conditions remain unchanged. -------------------------------------------------------------- Amendment 0001 The purpose of this amendment is to extend the due date for acceptance of White Papers. All other terms and conditions remain unchanged. -------------------------------------------------------------- The Naval Research Laboratory is interested in receiving innovative proposals that offer potential for advancement and improvement in the technical topic areas listed. This notice constitutes a Broad Agency Announcement (BAA) as contemplated in FAR 6.302(d) that provides for the competitive selection of research proposals. The Government reserves the right to select for award all, some, or none of the proposals received. Awards under this BAA are expected to take the form of Contracts, Grants, Cooperative Agreements and Other Transactions may also be awarded if appropriate. NRL encourages Educational Institutions, Small Businesses (SBs), Small Disadvantaged Business Concerns (SDBs) and Historically Black Colleges and Universities (HBCUs) and Minority Institutions (MIs) to submit proposals under this BAA. In order to conserve valuable offeror and Government resources, prospective offerors shall first submit a White Paper (WP) to the email address identified in the individual Summary Topics contained in Appedix 1, to include a rough cost estimate. If there is interest in the proposed research the offeror will be invited to submit a Formal Proposal. The selection of proposals for award will be based on a scientific review of proposals submitted in response to each BAA Summary Topic. The major purpose of the evaluation will be to determine the relative merit of the technical approach of each proposal. Business and contractual aspects, including proposed cost and cost realism, will also be considered as part of the evaluation. Selection of proposals for award will be based on the potential benefits to the Government weighed against the cost of the proposals, in view of the availability of funds. The complete BAA including proposal preparation instructions, award considerations, and evaluation criteria is also available at https://www.nrl.navy.mil/Doing-Business/Contracts/Broad-Agency-Announcements/ .",2026-09-30 20:00:00+00:00," The Naval Research Laboratory is interested in receiving innovative proposals that offer potential for advancement and improvement in the technical topic areas listed . NRL encourages Educational Institutions, Small Businesses (SBs), Small Disadvantaged Business Concerns (SDBs) and Historically Black Colleges and Universities (HBCUs) and Minority Institutions (MIs)"
72fafb41bb2a4b3b98d3cdab0c581bdd,Commercial Solutions Opening (CSO) : Tactical Oceanography Supporting Full-Spectrum Undersea Warfare,N66604-26-9-A00X,DEPT OF DEFENSE,17.0,DEPT OF THE NAVY,1700,NUWC DIV NEWPORT,N66604,2026-03-27 13:51:46.579-04,Combined Synopsis/Solicitation,Presolicitation,auto15,NONE,No Set aside used,2026-03-27 13:51:46.579-04,2026-04-17T14:00:00-04:00,541715,AC33,Yes,https://sam.gov/workspace/contract/opp/72fafb41bb2a4b3b98d3cdab0c581bdd/view,"Naval Undersea Warfare Center (NUWC) is interested in awarding Other Transaction Agreements (Agreements) to nontraditional and traditional defense contractors and non-profit research institutions (to include universities), to carry out prototype projects under 10 U.S.C. § 4022 that are directly relevant to enhancing the mission effectiveness of military personnel and the supporting platforms, systems, components, or materials proposed to be acquired or developed by the Department of Defense (DoD), or to improvement of platforms, systems, components, or materials in use by the Armed Forces of the United States. As such, NUWC announces the release of a Commercial Solutions Opening (CSO) for Tactical Oceanography Supporting Full-Spectrum Undersea Warfare. This CSO is seeking proposals for commercial prototyping efforts that include the development of new onboard and offboard environmental sensors and devices that build operator situational awareness and information systems that enable operators to increase performance of existing systems through expert use of the environment. Solution briefs / white paper proposals are sought under the CSO, which will be a phased competitive process to ensure that competitive procedures are used to the maximum extent practicable when entering into Agreements to carry out these prototype projects. The CSO, SOWs, and Agreement are provided as attachments to this notice. Proposal instructions are provided in the CSO. Awardees will perform to a Statement of Work (SOW). Note that there will be three levels of Security classification in the SOWs (Unclassified/CUI, Secret, and TS/SCI, which are attached as SOWs 1, 2, and 3, respectively) and the solicitation DD254s will be provided as an addendum to this announcement on or around 03 April 2026. The anticipated award date of individual Agreements is expected to be on or about 26 June 2026. Any questions pertaining to this requirement should be addressed to both Julianna Ricci at julianna.b.ricci.civ@us.navy.mil and Alexandra Cordts at alexandra.cordts.civ@us.navy.mil. Solution Briefs are due by 17 April 2026 at 02:00 PM Eastern Standard Time (EST) via email to the following Government Points of Contact (POC): Julianna Ricci – julianna.b.ricci.civ@us.navy.mil (Agreement Specialist) and Chris Kenney - christopher.j.kenney10.civ@us.navy.mil (Agreement Officer).",2026-04-17 18:00:00+00:00, The Naval Undersea Warfare Center (NUWC) is interested in awarding Other Transaction Agreements (Agreements) to nontraditional and traditional defense contractors and non-profit research institutions . NUWC announces the release of a Commercial Solutions Opening (CSO) for Tactical Oceanography Supporting Full-Spectrum Undersea warfare .
49be33b38db84487a1be5df77a72b095,Advanced Propulsion Aquisition Contract (APAC) IDIQ,FA862626RB002,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FP2042  AFLCMC LPA,FP2042,2026-03-27 13:16:26.535-04,Solicitation,Solicitation,autocustom,NONE,No Set aside used,2026-03-27 13:16:26.535-04,2026-04-13T15:00:00-04:00,336412,AC15,Yes,https://sam.gov/workspace/contract/opp/49be33b38db84487a1be5df77a72b095/view,"**Update 3/27/26 - Uploaded Responses to Industry attachment** Uploaded an attachment (Responses to Industry Questions 27 Mar 26) with responses to the questions submitted. **Update 3/19/26 - Uploaded Responses to Industry attachment** Uploaded an attachment (Responses to Industry Questions 19 Mar 26) with responses to the questions submitted. **Update 3/16/26 - Description update only** Please send all questions to POCs listed below and the following email address: aflcmc.apacidiq@us.af.mil The Advanced Propulsion Acquisition Contract (APAC) MAC Indefinite Delivery Indefinite Quantity (IDIQ) Contract is designed to provide the Air Force Life Cycle Management Center Propulsion Directorate (AFLCMC/LP) with the capacity to: a) rapidly develop technologies for novel propulsion capabilities, b) implement unique solutions and innovative ideas, c) advance new technologies and system concepts that provide evolutionary, revolutionary, and disruptive capabilities for the United States Air Force and strategic partners, and d) enables a rapid response applicable to all areas and lifecycle phases of propulsion development including technology maturation, concept development, concept demonstrations, integration, procurement, production, fielding, operations, and sustainment to quickly meet current and future propulsion system requirements, while maximizing the use of the digital environment.",2026-04-13 19:00:00+00:00, The Advanced Propulsion Acquisition Contract is designed to provide the Air Force Life Cycle Management Center Propulsion Directorate (AFLCMC/LP) with the capacity to rapidly develop technologies for novel propulsion capabilities .
b05a183d36054a1ab2ec103b52cb5c72,Partial Discharge Monitoring System Parts,379028,"ENERGY, DEPARTMENT OF",89.0,"ENERGY, DEPARTMENT OF",8900,FERMILAB - DOE CONTRACTOR,899034,2026-03-27 12:57:32.689-04,Solicitation,Solicitation,auto15,NONE,No Set aside used,2026-03-27 12:57:32.689-04,2026-04-10T16:00:00-05:00,334513,AG15,Yes,https://sam.gov/workspace/contract/opp/b05a183d36054a1ab2ec103b52cb5c72/view,"Request for Quote | brand name or item specifications equal to Fermi Forward Discovery Group (FFDG) FOR FERMILAB has a requirement for Qualitrol Partial Discharge Monitoring (PDM) System Spare Parts NAICS Code for this procurement is 334513 Fermi Forward Discovery Group (FFDG) Strategic Commercial Purchasing located in Batavia, Illinois issuing a Request for Quote (RFQ) for a commercial, single award contract to. This is a combined synopsis/solicitation for commercial products or commercial services prepared in accordance with the format in FAR subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested, and a written solicitation will not be issued. Fermi Forward Discovery Group (FFDG) intends to award Firm Fixed Price (FFP) contract. This is an all-or-non requirement, and the government will award a single purchase order to the offeror responsible whose offer conforms to the requirements as stated in the solicitation and is most advantageous to the Government based on the criteria listed within this solicitation. Window Port Assembly & Cover (UNC) Part # AE02988 QTY 9 IC44 FLANGE (UNC) Part # AE02918 QTY 9 Oral communications are not acceptable in response to this notice. Interested organizations may submit their capabilities and qualifications to perform the effort in writing to the identified point of contact no later than 4:00 p.m. Central Standard Time on 4/10/2026. Such capabilities /qualifications will be evaluated solely for the purpose of determining whether to conduct this procurement on a competitive basis. A decision by the Government not to compete this proposed effort on full and open competition basis, based upon responses to this notice, is solely with the discretion of the government. The following terms and conditions shall become a part of any subsequent purchase order/subcontract resulting from this RFP. FRA General Terms and Conditions for Commercial Products and Commercial Services (8/2025) The above referenced terms and conditions are available on the Fermilab Business Services Web Site. They are PDF Format and can be accessed at the following URL: https://procurement.fnal.gov/terms-conditions/ FERMI Strategic Commercial Purchasing will be the procuring center for this effort. All equipment and or services are to be delivered F.O.B. Fermi National Accelerator Laboratory (Fermilab), Batavia, IL 60510, Freight prepaid (delivered). The following Representations must be completed and returned with your proposal. SARC – Subcontractor Annual Reps & Certs PUR-466 – Proposal Certifications The RFP response shall include a completed RFP page include a price, with a completed SARC and PUR-466. All contractual questions shall be directed to: Cathleen E. Stadler Procurement Specialist 630-840-2763 cstadler@fnal.gov",2026-04-10 21:00:00+00:00, Request for Quote | brand name or item specifications equal to Fermi Forward Discovery Group (FFDG) FOR FERMILAB has a requirement for Qualitrol Partial Discharge Monitoring (PDM) System Spare Parts NAICS Code for this procurement is 334513 .
870d2b08438443158f96738c54d013c8,NEW - Air Force Installation and Mission Support Center (AFIMSC) Streamlining Procurement for Effective Execution & Delivery (SPEED) Commercial Solutions Opening (CSO),FA890326SC001,DEPT OF DEFENSE,57.0,DEPT OF THE AIR FORCE,5700,FA8903  772 ESS PK,FA8903,2026-03-27 11:05:52.173-04,Combined Synopsis/Solicitation,Combined Synopsis/Solicitation,auto15,NONE,No Set aside used,2026-03-27 11:05:52.173-04,2030-08-29T05:00:00-05:00,541,AC33,Yes,https://sam.gov/workspace/contract/opp/870d2b08438443158f96738c54d013c8/view,"DISCLAIMER: Please be advised that this combined synopsis/solicitation has been transferred from the 771 ESS to the 772 ESS and is a continuation of combined synopsis/solicitation FA8003-25-S-C001. Please see updated POCs below and any inquiries may also be sent to the new org box: 772 ESS/Speed CSO at 772ESS.Speed.CSO@us.af.mil. Note: ""Open"" indicates that submissions may be provided at any time. ""Closed"" indicates that there is a definitive due date for submissions. REVISED POSTING: See revision in bold in description below and in the revised attachment below, dated 18 March 2026. AMENDMENT 9: Closed - 2608 - BRAC Innovative Approaches, Technologies and Methodologies (Added 03/27/2026) Due 04/28/2026 See attachment below. AMENDMENT 8: Closed - 2607 - As-Built Building Information Modeling (BIM) Data Acquisition (Added 03/16/2026) Due 04/16/2026 Update: This amendment adds the Q&As. See Q&A attachment below. See attachment below. AMENDMENT 7: Closed - 2606 - AFCEC Enterprise-Wide Contracting Data Repository and Dashboard (Added 03/13/2026) Due 04/14/2026 Update: This amendment adds the Q&As. See Q&A attachment below. See attachment below. AMENDMENT 6: Closed - 2605 - Data Science Capability and Framework (Added 02/12/2026) Due 04/02/2026 Update: This amendment adds the Q&As making some changes on submission requirements and the due date has been extended to 02 April 2026, 5:00 P.M. CDT. See Q&A attachment below. See attachment below. AMENDMENT 5: Closed - 2604 - Unified Facility Criteria Design Kits (UDK) (Added 01/27/2026) Due 02/26/2026 See attachment below. AMENDMENT 4: Closed - 2603 - Base Oversight and Autonomous Response (BOAR) sUAS Framework (Added 01/22/2026) Due 02/22/2026 See attachment below. AMENDMENT 3: Closed - 2602 - AFCEC Business Systems Modernization IT (Added 01/21/2026) Due 03/10/2026 See attachment below. AMENDMENT 2: Closed - 2601 - Optimizing AFCEC CE IT Porfolio: Strengthening Systems for Global Operations (Added 10/1/2025) Due 11/1/2025 See attachment below. AMENDMENT 1: Open - 2501- Construction Cost and Schedule (Open) (Added 9/16/2025) The Government seeks an innovative solution to improve project outcomes by combining benchmarking with forward-looking market intelligence. The innovative solution shall emphasize optimizing total cost of ownership, differentiating discretionary versus mandatory requirements, and iterative investigation across all levels of a project, from macro design to micro equipment selection. The innovative solution shall incorporate data-driven insights to be framed by including a project delivery navigator that integrates structured and unstructured data, and the importance of considering external factors like commodity prices, local labor dynamics, and Engineering, Procurement and Construction (EPC) market intelligence to predict and improve project performance, ultimately advocating for aggressive design challenges and industrialized production processes to achieve successful project delivery. INITIAL POSTING: Description The purpose of this CSO is to allow for competitive selection of innovative commercial items, technologies, and services to obtain solutions or new capabilities that fulfill requirements, close capability gaps, or provide potential technological advancements in meeting the AFIMSC’s Areas of Interest (AoI). The Air Force Installation and Mission Support Center (AFIMSC) is a vital engine for fostering innovation throughout the Air Force. It functions as a dynamic community,bringing together a diverse group of individuals from active duty, Air National Guard, Air Force Reserve, civilian service, and contractor roles. This broad mix of backgrounds and experiences is crucial for generating creative solutions the Air Force needs to meet evolving challenges. AFIMSC acts as a central connector, linking Airmen with the resources necessary to transform innovative ideas into reality. This includes securing funding for promising projects, forging connections with industry experts and companies who offer specialized knowledge and technologies, and providing expert guidance and mentorship to navigate the often complex path of development and implementation. A core element of AFIMSC's strategy is cultivating and facilitating agile engagements fostering collaboration with entities outside the traditional military structure. They embrace the principles of open innovation, understanding that valuable solutions can emerge from diverse sources. AFIMSC actively bridges the gap between the Air Force and the wider innovation ecosystem, engaging with established companies, startups, universities, research institutions, and even non-traditional contributors who may not have previously worked with the military. This ""bottom-up"" approach empowers Airmen at all levels to identify challenges and propose solutions, ensuring that innovation is driven from the ground up. Solutions presented gain valuable visibility within the Air Force and other government entities, potentially informing future contract solicitations, grants, and agreements. Successful solutions may be selected for prototyping, testing, demonstration, and eventual deployment. Ultimately, AFIMSC contributes to the growth and development of the non-traditional military business ecosystem, strengthening relationships between the Air Force and the private sector and driving the development of innovative solutions to critical Air Force challenges. In essence, AFIMSC is adriving force, helping the Air Force embrace innovation and adapt to a rapidly changing world. This CSO will utilize a solicitation process authorized by DFARS Subpart 212-70. Under this CSO, the Air Force will be allowed to competitively procure innovativecommercial items, technologies, and services. CSO procedures provide a streamlined acquisition process and simplified contract terms resulting in FAR-based contracts awarded under Part 12 Commercial Item Procedures or awards made with Other Transactions (OTs) under 10 USC 4022. Both traditional and non-traditional defense contractors may be awarded contracts under this CSO. Under a CSO Air Force contracting officers may competitively select proposals received in response to a general competitive solicitation, similar to a broad agency announcement, based on a review of proposals by scientific, technological, or othersubject matter experts.",2030-08-29 10:00:00+00:00," The purpose of this CSO is to allow for competitive selection of innovative commercial items, technologies, and services . The Air Force Installation and Mission Support Center (AFIMSC) is a vital engine for fostering innovation throughout the Air Force . The Government seeks an innovative solution to improve project outcomes by combining benchmarking with forward-looking market intelligence"
131e27f0eb4b41c4932f340c2f55cfde,Solicitation for COMET Defense Intelligence Agency Missile and Space Intelligence Center,HHM40226COMET,DEPT OF DEFENSE,97.0,DEFENSE INTELLIGENCE AGENCY (DIA),97DL,VIRGINIA CONTRACTING ACTIVITY,HHM402,2026-03-27 09:10:58.049-04,Solicitation,Solicitation,autocustom,SBP,Partial Small Business Set-Aside (FAR 19.5),2026-03-27 09:10:58.049-04,2026-04-03T17:00:00-05:00,541715,AC23,Yes,https://sam.gov/workspace/contract/opp/131e27f0eb4b41c4932f340c2f55cfde/view,"The purpose for solicitation Amendment 0002 is to provide Section L with formatting issues addressed and to provide responses to follow-up questions. This concludes the Q&A period, no further questions will be contemplated. The solicitation response due date remains unchanged. All other terms and conditions remain unchanged. Soliciatation for Defense Intelligence Agency Missile and Space Intelligence Center The Virginia Contracting Activity (VaCA) releases a Request for Proposal (RFP) for Contract Operations for Missile Evaluation and Testing (COMET) during March 2026. The following details are provided as required by FAR 5.207: 1. Requirements Name: Contract Operations for Missile Evaluation and Testing (COMET) 2. Proposed Solicitation Number: HHM402-26-COMET 3. Product Service Code (PSC): AC23 National Defense R&D Services; Atomic energy defense activities; Experimental Development 4. Planned Solicitation Release Date: March 2, 2026 5. Planned Solicitation Response Closing Date: April 3, 2026 6. Contracting Office Address: 4545 Fowler Road, Redstone Arsenal, AL 7. Contracting Office Zip Code: 35898 8. Contracting Officer: Noryem Maldonado 9. Description: Missile and Space Intelligence Center requires contract support for research, development, and sustainment of new and existing, hardware, systems, and software capabilities, and foundational military intelligence (FMI) enabling all-source analysis and production for the DIA, Department of Defense (DoD), and national level intelligence efforts. MSIC also requires contract support to provide the Defense Intelligence Enterprise (DIE) and its mission partners analysis and analytical enabling services support. The planned period of performance (PoP) for the anticipated Multiple Award Indefinite Delivery Indefinite Quantity (IDIO) contract will be a five (5) year base ordering period with a five (5) year option ordering period. Supporting task orders may have up to a one (1) year base period and up to four (4) option periods (no option period will exceed one (1) year in duration). 1. Place of Contract Performance: TBD 2. Set-Aside Status: Multiple Award IDIQ contract Full and Open Competition. The Government anticipates issuing a Multiple Award Indefinite Delivery/Indefinite Quality type contract, whereby funds are obligated by issuance of individual Task Orders. The resulting contract will have provisions for Cost-Plus-Fixed-Fee, Firm-Fixed-Price, and Time- and-Material Task Orders. The future RFP is likely to be issued on unrestricted competition basis. Subcontracting plans will be required where applicable. Offerors must be registered in the System for Award Management (www.sam.gov) to conduct business with this Government organization. Place of performance shall be determined at a later date. While the Statement od Work for each Task Order effort may not be classified, a TOP SECRET facility clearance is required and personnel working on Task Orders under the contract, whether or not performance is at MSIC facilities, must have a TS/SCI Clearance prior to working on the effort. The Solicitation Notice is provided for informational purposes and IS a REQUEST FOR PROPOSALS (RFP). RFP Questions Matrix (Attachment 6) is due 13 March 2026 NLT 12:00pm (noon) CST.",2026-04-03 22:00:00+00:00," The Virginia Contracting Activity (VaCA) releases a Request for Proposal (RFP) for Contract Operations for Missile Evaluation and Testing (COMET) in March 2026 . Missile and Space Intelligence Center requires contract support for research, development, and sustainment of new and existing capabilities ."
99811c92e8ad41df8c46e2c4d4ffd2e6,Cyber Physical Systems Executing in Real Time (CyPhER Forge),DARPA-PS-26-04,DEPT OF DEFENSE,97.0,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),97AE,DEF ADVANCED RESEARCH PROJECTS AGCY,HR0011,2026-03-27 07:47:30.986-04,Solicitation,Solicitation,autocustom,,,2026-03-27 07:47:30.986-04,2026-06-15T13:00:00,541715,AC12,Yes,https://sam.gov/workspace/contract/opp/99811c92e8ad41df8c46e2c4d4ffd2e6/view,"March 27, 2026 (Amendment 01): Reference Summary of Changes document. February 25, 2026 (Original Posting Date): Cyber Physical Systems Executing in Real Time (CyPhER) Forge aims to revolutionize defense Test & Evaluation (T&E) by breaking the direct link between physical system complexity and test duration. DARPA intends to use a phased acquisition approach for the CyPhER Forge program. The planned 30-month, three (3) phase program seeks to reduce required test points by order of magnitude for developmental systems through two (2) core innovations, using flight testing as a primary demonstration and validation environment.",2026-06-15 13:00:00+00:00," DARPA intends to use a phased acquisition approach for the CyPhER Forge program . The planned 30-month, three (3) phase program seeks to reduce required test points by order of magnitude for developmental systems ."
